No,Student Name,Marks,School Name
1,Rahul Kumar,89,Green Valley Public School
2,Sneha Patil,76,Sunrise English Medium School
3,Aditya Sharma,92,Little Flower High School
4,Kavya Reddy,81,National Convent School
5,Arjun Mehta,67,St. Joseph’s School
6,Priya Nair,95,Kendriya Vidyalaya
7,Manish Gupta,72,City Central School
8,Riya Singh,88,Oxford Public School
9,Sohan Kulkarni,54,Vidya Mandir High School
10,Pooja Deshmukh,78,Silver Oak Academy
11,Nikhil Verma,83,Carmel Convent School
12,Aditi Joshi,91,Delhi Public School
13,Varun Shetty,69,New Horizon School
14,Simran Kaur,87,Mount Carmel School
15,Rohan Thakur,74,Blossom High School
16,Shreya Rao,98,Ryan International School
17,Karan Jain,63,Heritage Public School
18,Ananya Das,82,Blue Bells High School
19,Abhishek Sinha,59,Springdale School
20,Meera Kulkarni,90,Greenwood International School
